,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
0,646,606,610,1106,1074,1063,74,81,58,2594,2541,2541,289,236,179,5914,5914,5627,1193,1256,1256
29,635,615,596,1127,1062,1110,74,82,61,2819,2704,2704,270,253,185,6089,6089,5800,1228,1223,1223
61,697,583,566,1233,1177,1177,71,72,54,2857,2773,2773,285,246,189,6351,6351,5897,1258,1258,1258
92,691,644,598,1269,1186,1210,71,64,62,2953,2864,2864,280,246,217,6298,6298,5887,1324,1257,1257
123,696,686,602,1320,1256,1209,75,69,54,2993,3039,3039,293,253,186,6402,6402,6048,1298,1398,1398
154,643,652,593,1391,1303,1328,73,77,60,3193,3174,3174,299,266,219,6548,6548,6133,1358,1423,1423
185,676,634,572,1365,1387,1276,74,71,62,3323,3185,3185,272,272,218,6569,6569,6120,1430,1410,1410
216,700,615,608,1425,1395,1327,69,61,56,3377,3239,3239,293,259,222,6477,6477,6084,1450,1539,1539
247,697,598,566,1529,1395,1488,77,70,43,3440,3376,3376,307,276,213,6504,6504,6143,1447,1559,1559
278,669,603,585,1550,1463,1485,65,54,48,3448,3506,3506,304,282,213,6485,6485,5997,1479,1517,1517
309,679,581,565,1561,1490,1522,61,60,51,3588,3514,3514,298,279,206,6529,6529,6189,1505,1624,1624
340,661,596,587,1607,1599,1529,60,60,54,3617,3678,3678,301,289,210,6362,6362,6127,1581,1647,1647
371,629,593,507,1660,1609,1602,59,55,47,3675,3812,3812,325,304,206,6354,6354,5986,1571,1576,1576
402,683,581,535,1721,1605,1633,54,65,42,3891,3831,3831,315,288,218,6406,6406,5860,1603,1664,1664
433,660,582,526,1701,1600,1594,69,65,45,3954,3863,3863,331,288,222,6293,6293,5666,1653,1713,1713
464,642,549,521,1768,1666,1698,55,61,47,3996,4005,4005,341,269,227,6272,6272,5573,1715,1749,1749
495,586,525,503,1816,1757,1666,59,52,43,4139,4104,4104,342,306,237,6184,6184,5661,1718,1834,1834
526,597,553,488,1817,1802,1725,54,58,41,4167,4137,4137,325,287,225,6164,6164,5493,1709,1861,1861
557,628,590,475,1861,1846,1801,57,58,41,4244,4166,4166,375,314,248,6070,6070,5392,1789,1852,1852
588,610,553,475,1981,1886,1815,50,58,29,4274,4293,4293,370,295,248,6162,6162,5444,1729,1854,1854
619,547,517,477,1932,1788,1852,54,53,31,4377,4312,4312,382,304,263,6006,6006,5301,1873,1886,1886
650,562,520,463,1969,1921,1930,47,52,44,4437,4384,4384,371,326,242,5906,5906,5186,1831,1974,1974
681,583,514,415,2012,1910,1938,54,43,31,4524,4428,4428,377,339,270,5913,5913,5169,1829,2021,2021
712,545,489,470,2093,1975,1940,50,54,38,4600,4500,4500,360,326,239,5756,5756,5215,1883,1947,1947
743,521,512,425,2088,2004,1995,52,56,41,4780,4490,4490,364,318,240,5802,5802,5029,1954,2105,2105
774,517,485,441,2176,2085,2003,62,48,39,4850,4669,4669,359,335,267,5766,5766,4947,1920,1949,1949
805,557,447,409,2156,2096,2044,61,40,35,4770,4737,4737,398,359,249,5654,5654,4925,2070,2075,2075
836,522,462,399,2256,2028,2004,48,52,35,4949,4712,4712,365,309,242,5730,5730,4890,2020,2100,2100
867,496,439,407,2216,2123,2121,44,33,24,5073,4855,4855,348,359,221,5583,5583,4792,2035,2062,2062
898,523,444,416,2258,2189,2096,56,42,31,4910,4986,4986,356,350,268,5550,5550,4717,2097,2087,2087
929,477,439,399,2313,2182,2157,58,45,29,5030,5045,5045,412,351,278,5443,5443,4620,2052,2197,2197
960,486,417,392,2352,2218,2214,45,46,33,5068,5071,5071,427,356,250,5542,5542,4604,2086,2231,2231
991,471,462,398,2434,2225,2180,43,45,36,5108,5044,5044,405,354,263,5518,5518,4513,2159,2172,2172
1022,471,403,373,2388,2271,2197,43,41,34,5294,5106,5106,424,394,265,5370,5370,4526,2180,2257,2257
1053,490,405,388,2434,2252,2335,50,44,33,5246,5142,5142,402,353,289,5423,5423,4454,2197,2309,2309
1084,460,413,375,2467,2351,2322,44,33,37,5359,5313,5313,404,374,272,5203,5203,4472,2129,2401,2401
1115,435,404,338,2527,2303,2245,42,35,33,5394,5257,5257,448,349,259,5178,5178,4283,2202,2281,2281
1146,455,402,335,2521,2457,2360,47,32,29,5449,5464,5464,395,361,285,5320,5320,4328,2220,2336,2336
1177,425,371,352,2532,2348,2299,37,39,34,5452,5468,5468,426,367,269,5183,5183,4174,2189,2355,2355
1208,413,359,345,2614,2443,2353,39,26,33,5665,5369,5369,424,367,285,5129,5129,4203,2229,2349,2349
1239,399,339,329,2491,2451,2388,40,29,24,5599,5506,5506,445,367,293,5163,5163,4208,2249,2442,2442
