,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
0,108,122,106,186,172,158,14,17,16,50,58,56,23,24,24,115,94,86,75,69,65
29,132,109,121,251,204,215,43,42,37,62,73,62,23,29,18,105,111,109,147,139,112
61,127,120,132,333,318,312,50,52,56,71,65,56,23,20,24,123,105,138,236,227,225
92,138,155,139,411,406,414,74,69,58,75,67,75,28,26,29,136,141,143,384,351,299
123,155,145,146,576,515,533,111,115,108,82,70,67,26,24,18,136,154,162,535,479,415
154,169,144,141,684,636,612,126,140,137,65,63,55,25,26,20,184,158,155,704,648,545
185,153,165,172,822,749,752,144,153,178,93,62,73,24,26,29,201,210,191,898,827,695
216,187,166,166,961,903,917,192,219,200,74,75,68,35,28,30,234,198,191,1059,975,824
247,177,168,161,1136,1045,1006,202,239,251,90,73,73,23,30,22,274,237,249,1251,1153,938
278,207,212,185,1236,1163,1143,265,255,257,86,87,73,27,31,28,299,235,245,1405,1298,1113
309,208,192,212,1427,1328,1242,287,282,299,88,83,71,40,31,29,304,276,275,1628,1429,1252
340,198,189,189,1557,1463,1380,329,335,316,96,96,90,29,29,30,365,278,308,1770,1664,1391
371,240,203,223,1710,1541,1520,367,382,367,100,85,92,22,38,39,340,343,331,2027,1835,1541
402,230,213,200,1856,1776,1682,377,422,396,94,100,91,29,38,32,380,368,362,2229,1998,1689
433,250,243,240,2085,1870,1879,450,464,453,88,86,78,31,43,26,407,368,374,2416,2211,1832
464,249,242,244,2231,2017,1924,477,436,485,95,109,96,46,35,31,485,432,430,2629,2410,2030
495,258,250,253,2263,2150,2015,494,536,530,111,110,98,38,33,33,492,432,433,2820,2626,2170
526,286,253,255,2426,2383,2188,542,578,526,107,105,87,41,33,32,543,466,420,3022,2805,2240
557,268,254,267,2582,2506,2371,560,575,570,114,122,104,34,35,31,562,485,491,3152,2957,2396
588,294,291,269,2766,2616,2502,619,633,600,102,118,107,46,37,48,564,524,517,3334,3164,2541
619,310,298,277,2949,2720,2660,653,610,639,119,120,114,45,49,38,558,513,538,3607,3313,2724
650,331,297,271,3124,2874,2727,689,666,665,105,103,115,39,41,47,630,574,553,3823,3494,2900
681,317,320,260,3246,3041,2896,737,731,723,120,120,112,43,48,40,688,552,584,3912,3634,2996
712,359,297,300,3363,3214,3037,749,769,765,145,115,114,47,55,37,714,617,588,4157,3937,3216
743,339,341,310,3518,3348,3208,828,775,735,122,117,117,39,39,41,712,622,627,4454,4084,3308
774,356,337,333,3711,3483,3223,790,829,792,132,131,139,50,39,47,706,653,644,4598,4218,3470
805,363,345,334,3806,3533,3448,847,824,871,126,130,115,47,43,38,769,696,647,4633,4489,3580
836,378,341,333,3947,3721,3569,902,816,843,145,150,122,40,37,49,803,687,728,4790,4659,3764
867,382,356,350,4147,3910,3664,949,898,905,145,130,102,51,45,54,803,742,708,4993,4685,3882
898,417,361,346,4243,3975,3744,936,925,917,147,142,130,43,52,43,857,746,776,5301,4974,4085
929,413,375,328,4438,4183,3958,945,928,930,153,142,124,56,46,50,867,737,753,5402,5237,4191
960,404,379,371,4507,4214,3997,997,963,964,116,146,135,54,50,44,906,804,740,5589,5445,4239
991,399,388,349,4707,4300,4174,1057,1008,1061,155,126,142,50,47,51,961,820,786,5739,5425,4576
1022,429,401,383,4883,4443,4242,1100,1048,1086,146,139,135,44,45,52,976,837,828,5877,5733,4536
1053,450,371,416,5001,4664,4470,1120,1093,1052,141,134,130,64,62,58,983,845,858,6196,5901,4685
1084,479,437,392,5049,4613,4534,1131,1133,1126,160,129,149,69,51,68,982,843,841,6363,6101,4857
1115,470,399,403,5368,5031,4596,1206,1151,1133,168,155,144,54,47,51,1059,930,851,6564,6150,5051
1146,488,441,406,5333,5129,4586,1241,1207,1154,171,161,170,60,55,56,1076,944,867,6713,6351,5078
1177,495,461,443,5393,5228,4912,1185,1194,1207,143,158,142,54,56,58,1084,953,901,6870,6541,5263
1208,465,428,482,5731,5302,5010,1281,1205,1194,130,141,152,57,49,65,1124,930,961,6970,6834,5418
1239,511,448,405,5718,5319,5161,1282,1217,1245,157,166,151,46,62,40,1141,996,972,7123,6812,5518
1270,471,426,464,5880,5631,5106,1347,1246,1262,157,152,143,55,56,49,1122,1025,1000,7357,7126,5607
1301,498,462,438,6077,5620,5367,1394,1339,1305,139,181,145,65,56,57,1133,1031,1000,7528,7319,5801
1332,502,450,452,6040,5792,5489,1433,1404,1349,171,168,152,64,52,52,1160,1041,989,7691,7353,5881
1363,508,476,469,6237,5935,5514,1391,1444,1311,150,172,166,72,60,62,1198,1096,1042,7743,7622,6001
1394,494,498,454,6472,5924,5533,1374,1387,1363,172,172,145,60,48,52,1248,1057,1061,7943,7677,6185
1425,520,508,477,6469,6111,5738,1480,1416,1377,196,173,161,55,62,67,1270,1124,1077,8175,8044,6121
1456,537,507,476,6583,6253,5974,1454,1489,1412,166,170,162,69,42,65,1254,1088,1131,8342,8054,6294
1487,579,508,496,6656,6292,5978,1527,1544,1435,166,187,164,65,71,59,1307,1163,1091,8633,8239,6550
1518,546,550,513,6996,6366,6136,1548,1564,1477,187,181,177,61,58,64,1380,1137,1100,8670,8474,6525
1549,573,530,502,6981,6573,6159,1573,1507,1518,198,162,166,77,71,66,1346,1220,1184,8703,8580,6779
1580,583,518,553,7041,6675,6168,1565,1545,1531,177,179,172,58,63,68,1358,1168,1215,8791,8644,6842
1611,554,555,513,7278,6800,6417,1643,1529,1539,187,177,177,69,60,79,1369,1195,1187,9075,8939,6903
1642,583,528,529,7373,6841,6563,1680,1628,1551,191,172,203,65,60,62,1405,1228,1224,8957,8954,7114
1673,606,538,496,7551,7008,6500,1678,1561,1621,183,206,164,65,62,69,1448,1262,1208,9338,9185,7175
