,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
0,260,264,256,241,236,179,9,8,10,23,24,25,350,312,281,583,556,509,162,144,153
29,294,297,308,371,333,290,12,13,14,41,37,43,756,705,615,1294,1208,1126,531,411,432
61,325,320,297,530,540,437,12,15,18,43,39,40,1317,1246,1178,2307,2159,2023,1048,828,919
92,354,348,359,740,735,636,22,31,28,57,48,68,1920,1850,1749,3394,3187,3047,1670,1421,1471
123,375,405,426,974,970,874,36,30,35,79,68,71,2534,2502,2323,4453,4346,4050,2292,1972,2016
154,497,475,464,1221,1198,1068,34,40,35,103,75,84,3266,3169,2991,5485,5360,5044,3018,2607,2603
185,536,537,482,1448,1387,1298,61,51,58,102,103,98,4002,3989,3704,6822,6353,6093,3692,3414,3306
216,554,581,550,1700,1658,1566,69,67,66,134,113,111,4891,4646,4437,7821,7477,7239,4490,4062,3926
247,625,642,631,2050,1983,1780,73,61,62,145,136,120,5535,5360,5160,9027,8645,8005,5317,4790,4643
278,724,713,697,2265,2244,2024,93,67,81,160,122,162,6217,6042,5824,10148,9453,9013,6220,5529,5332
309,752,761,718,2543,2478,2287,81,84,76,161,151,178,7150,6817,6728,11152,10694,10035,6973,6305,6152
340,845,826,824,2810,2794,2559,98,92,100,196,172,187,7881,7524,7382,12174,11574,10817,7482,7051,6928
371,875,895,842,3105,3103,2783,108,98,94,191,175,193,8655,8319,8067,13203,12514,11818,8448,7823,7643
402,928,930,963,3313,3378,3060,114,113,113,204,195,219,9305,9091,8755,14321,13422,12741,9320,8536,8177
433,1006,978,999,3601,3579,3337,118,116,110,232,210,248,10135,9889,9480,15097,14215,13375,10016,9351,9124
464,1117,1040,1078,3821,3912,3690,131,143,132,243,218,253,10843,10633,10305,16012,15053,14223,10989,10091,9845
495,1138,1093,1120,4155,4193,3901,130,138,141,235,227,286,11738,11259,10820,16911,15862,15322,11693,11042,10467
526,1183,1148,1184,4445,4543,4132,148,147,141,259,249,285,12538,12083,11863,17635,16726,16093,12518,11670,11322
557,1313,1175,1266,4749,4711,4307,172,170,168,304,299,298,13313,12952,12461,18649,17597,16462,13314,12550,11957
588,1349,1300,1291,5034,5143,4712,194,162,144,313,289,329,14039,13580,13155,19318,18328,17243,14213,13379,12664
619,1371,1332,1349,5323,5258,4798,194,169,172,356,296,314,14787,14242,13987,20242,19223,17864,15224,14069,13485
650,1469,1467,1389,5473,5566,5307,194,168,171,329,328,353,15537,14979,14915,20589,19715,18837,15844,14974,14271
681,1597,1450,1507,5762,5800,5354,191,193,215,357,321,354,16370,15846,15288,21259,20115,18977,16706,15757,15051
712,1611,1519,1507,5893,6032,5584,216,202,194,382,340,388,17058,16659,16054,22097,21097,19815,17499,16372,15545
743,1609,1577,1595,6339,6228,5890,213,217,207,400,387,392,17841,17139,16764,22720,21542,20362,18162,17152,16495
774,1664,1668,1666,6529,6760,6194,227,218,224,414,371,428,18622,17837,17394,23356,22032,20826,18796,17929,17200
805,1736,1659,1714,6838,6772,6378,227,210,221,427,389,455,19504,18662,18160,24010,22681,21480,19544,18749,17871
836,1774,1717,1770,7033,7080,6613,236,237,226,411,374,439,19930,19499,18837,24433,23103,21922,20581,19427,18411
867,1854,1768,1760,7370,7325,6928,236,251,247,422,420,417,20638,20061,19667,24690,23368,22181,21407,20189,19165
898,1941,1820,1899,7589,7622,7059,237,255,268,473,390,441,21256,20924,20197,25529,24006,22491,21911,20715,20002
929,1922,1951,1925,7802,7930,7328,255,219,251,467,478,507,22059,21431,20887,26006,24219,23157,22695,21575,20649
960,1975,1995,1981,8054,8133,7578,285,279,265,458,454,493,23059,22193,21477,26596,24829,23492,23343,22259,21216
991,2083,2007,1986,8203,8344,7897,285,255,267,520,481,515,23411,22907,22211,26691,25344,24053,23970,22902,21932
1022,2132,2062,2074,8533,8662,8143,294,253,290,496,475,509,24085,23404,22829,27167,25436,24032,25021,23578,22584
1053,2197,2137,2167,8787,8994,8245,296,280,304,509,492,560,25106,24249,23509,27181,25826,24198,25697,24370,23387
1084,2258,2141,2206,9162,9032,8571,307,289,320,527,511,564,25562,24721,24126,27585,26190,24867,26293,25159,23975
1115,2233,2185,2225,9417,9416,8746,315,275,315,513,516,604,26279,25233,24463,28082,26818,25042,27115,25722,24435
1146,2321,2308,2242,9469,9414,8978,330,324,278,574,511,580,27022,26130,25365,28426,26959,25516,27606,26392,25067
1177,2371,2347,2282,9778,9903,9324,333,311,316,553,515,595,27463,26553,26018,28551,27241,25754,28394,27072,25793
1208,2480,2355,2422,9974,10028,9338,323,327,326,578,549,624,28240,27353,26492,29085,27444,25777,28754,27708,26545
1239,2519,2379,2487,10209,10270,9748,365,333,348,600,549,625,28689,27987,27117,29208,27690,26138,29874,28231,27294
1270,2572,2399,2459,10402,10394,9706,363,354,335,594,625,610,29468,28674,27580,29560,27866,26277,30369,28848,27562
1301,2569,2486,2491,10801,10724,9838,346,322,331,628,545,672,30306,29035,28253,29806,28072,26727,30849,29613,28323
1332,2703,2541,2515,10986,10984,10365,356,348,337,638,597,675,30678,29788,28821,30154,28291,26640,31603,30352,29029
1363,2736,2587,2618,11050,11214,10490,372,344,352,644,641,665,31387,30243,29748,30373,28513,27099,32258,30665,29574
1394,2739,2627,2665,11499,11365,10625,402,357,335,669,600,686,31837,30783,29899,30195,28685,26901,32969,31471,30050
1425,2745,2690,2725,11523,11785,10792,390,382,370,669,661,676,32318,31448,30653,30452,28672,27342,33719,32228,30331
