,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
0,123,128,116,120,120,128,15,13,14,22,16,26,40,36,45,82,62,65,79,83,58
29,166,158,169,121,138,154,20,12,14,20,16,22,37,40,46,75,79,78,138,139,141
61,271,223,219,194,158,179,19,26,21,27,14,17,52,39,43,92,94,115,214,234,202
92,302,276,312,217,203,225,24,26,24,31,25,22,39,53,45,119,130,141,329,343,316
123,363,378,365,259,250,259,37,32,34,25,26,26,44,49,54,128,157,162,438,441,422
154,445,458,446,297,317,337,41,49,52,31,29,33,41,38,59,181,178,164,591,560,531
185,561,572,557,399,347,380,47,56,56,21,24,31,57,52,54,187,210,202,703,696,661
216,627,623,619,426,400,432,71,58,69,21,31,25,67,53,66,240,236,245,837,851,811
247,682,670,691,517,447,500,71,64,73,29,24,28,76,59,64,279,278,269,999,951,934
278,753,795,807,524,527,545,86,86,88,31,27,26,71,58,63,306,325,310,1119,1082,1074
309,841,875,893,621,570,650,73,89,105,29,30,29,73,65,79,320,350,340,1282,1253,1207
340,887,946,964,659,619,666,91,89,95,33,38,22,80,71,67,369,380,392,1431,1385,1289
371,1034,1050,1092,700,718,665,108,107,126,42,35,34,80,75,86,373,386,382,1596,1509,1434
402,1109,1090,1108,790,765,795,109,117,115,46,35,41,94,75,76,437,443,451,1732,1652,1493
433,1241,1206,1242,887,810,803,117,114,141,36,44,31,88,105,90,444,474,473,1920,1842,1706
464,1324,1295,1306,892,916,920,149,146,149,44,43,33,99,92,94,535,511,487,1998,1992,1840
495,1367,1433,1369,917,962,938,139,141,143,48,37,32,89,98,106,538,564,543,2235,2102,1994
526,1541,1446,1555,1014,1043,1052,150,155,149,43,37,35,113,107,101,541,565,608,2373,2270,2115
557,1530,1589,1588,1031,975,1063,172,172,168,48,41,46,101,105,104,602,599,615,2512,2414,2299
588,1698,1666,1703,1113,1149,1111,178,170,177,49,59,42,115,115,118,589,653,629,2653,2533,2415
619,1748,1789,1803,1198,1184,1225,177,200,175,45,55,48,121,111,111,653,663,649,2755,2730,2523
650,1823,1846,1840,1236,1262,1224,202,205,193,50,47,40,116,111,120,702,720,683,2931,2755,2666
681,1868,1852,1940,1330,1317,1287,170,196,202,51,57,39,107,125,109,728,763,700,3106,3021,2741
712,2062,2015,2017,1328,1349,1348,215,222,211,69,58,56,108,126,99,761,819,780,3266,3136,2993
743,2079,2098,2096,1429,1355,1360,209,221,223,44,55,48,141,117,124,805,818,782,3376,3277,3071
774,2220,2131,2275,1486,1479,1464,230,212,223,58,60,51,126,130,128,793,826,816,3518,3476,3160
805,2231,2299,2337,1511,1497,1574,218,226,252,53,45,43,128,130,137,876,847,839,3690,3605,3372
836,2456,2356,2369,1581,1598,1570,246,256,240,54,47,56,148,132,138,892,898,900,3836,3744,3446
867,2460,2383,2397,1622,1573,1638,255,251,265,58,60,51,123,139,147,906,951,938,3947,3740,3623
898,2570,2574,2536,1736,1650,1683,275,270,290,61,58,64,160,151,143,956,956,912,4081,3957,3744
929,2582,2589,2593,1778,1687,1753,258,263,263,66,65,72,147,134,147,965,970,1014,4297,4089,3914
960,2691,2714,2786,1795,1782,1774,283,282,302,65,68,51,172,154,133,976,1080,1057,4395,4159,3953
991,2768,2774,2805,1841,1785,1866,287,286,285,62,60,72,152,164,155,1031,1085,1006,4519,4310,4078
1022,2893,2798,2860,1915,1918,1849,276,291,310,70,64,72,158,166,164,1076,1118,1052,4609,4503,4352
1053,2929,2846,2993,1998,1971,1990,316,331,303,62,79,58,172,170,191,1069,1079,1088,4723,4527,4348
1084,3075,3009,2999,2024,1964,1965,299,292,327,70,69,62,164,159,169,1167,1137,1128,4814,4672,4518
1115,3041,3076,3098,2054,2023,2078,315,321,288,57,77,69,187,162,169,1173,1198,1187,5142,4863,4615
1146,3214,3135,3222,2097,2093,2116,340,299,337,71,68,63,169,175,183,1184,1203,1173,5211,5014,4639
1177,3238,3152,3272,2180,2143,2178,342,320,342,69,70,70,178,176,184,1193,1259,1226,5211,5212,4832
1208,3310,3351,3351,2328,2214,2180,310,334,352,57,67,69,213,183,178,1239,1235,1236,5510,5176,5028
1239,3428,3330,3448,2284,2193,2248,346,320,354,90,81,69,194,176,179,1214,1311,1293,5528,5357,5065
1270,3465,3509,3374,2358,2346,2305,373,353,366,65,76,73,187,168,199,1258,1330,1320,5549,5310,5221
1301,3539,3411,3597,2410,2372,2324,397,359,363,68,70,72,188,188,198,1340,1351,1370,5868,5518,5247
1332,3565,3657,3656,2402,2402,2390,381,351,369,71,87,81,197,187,199,1314,1403,1363,6012,5711,5457
1363,3710,3671,3772,2430,2414,2464,361,399,356,82,75,64,225,214,195,1403,1462,1349,6079,5726,5556
1394,3766,3817,3800,2631,2509,2515,384,381,411,79,88,85,207,213,171,1365,1507,1423,6120,5882,5677
1425,3817,3744,3916,2662,2519,2551,420,386,397,94,86,79,211,204,201,1329,1463,1451,6292,6099,5793
1456,3877,3832,3878,2661,2691,2606,391,371,390,90,75,71,210,192,211,1467,1495,1495,6437,6283,5865
1487,3952,3907,4022,2666,2599,2713,430,426,408,71,92,75,215,215,232,1470,1520,1518,6561,6250,6015
1518,4090,4051,4127,2649,2624,2770,398,399,386,86,90,96,198,199,230,1444,1522,1499,6589,6364,6030
1549,4144,4088,4192,2790,2688,2787,395,406,404,84,86,77,218,216,215,1465,1607,1655,6787,6489,6158
1580,4180,4237,4305,2894,2691,2760,403,407,435,90,106,77,216,220,228,1533,1624,1622,6699,6641,6228
1611,4292,4231,4293,2925,2817,2796,435,420,424,78,86,84,208,197,219,1487,1565,1652,6944,6633,6415
1642,4308,4272,4322,2909,2900,2773,411,459,453,83,93,88,246,223,223,1622,1715,1652,7118,6825,6514
1673,4452,4383,4385,2912,2856,2869,427,433,445,91,84,95,240,223,229,1596,1688,1666,7223,6960,6507
1704,4388,4481,4471,2953,3043,2933,488,439,456,88,66,96,242,196,227,1687,1677,1733,7293,7040,6762
1735,4475,4558,4610,3008,2979,2981,457,445,436,79,90,86,243,251,236,1734,1773,1767,7505,7075,6881
1766,4638,4515,4502,3119,3018,3078,471,482,469,88,95,96,240,213,214,1689,1750,1695,7586,7314,6789
1797,4680,4693,4644,3148,3098,3081,467,454,507,97,90,96,251,221,235,1706,1726,1753,7654,7362,7128
1828,4761,4703,4778,3204,3122,3169,481,458,483,94,100,93,269,240,228,1804,1804,1779,7741,7392,7051
1859,4729,4769,4735,3188,3114,3135,449,501,450,87,111,104,271,242,248,1745,1880,1892,7870,7535,7268
1890,4853,4778,4873,3247,3150,3267,469,501,517,94,102,94,272,223,277,1762,1902,1821,7912,7660,7280
1921,4885,4997,4953,3282,3251,3216,491,461,475,96,111,103,261,255,248,1820,1861,1897,8070,7647,7400
1952,5162,5036,4987,3315,3246,3247,510,505,514,111,96,98,256,252,245,1816,1903,1847,7955,7925,7481
1983,5047,5132,5105,3406,3291,3213,499,512,498,100,115,84,257,270,284,1868,1933,1971,8215,7922,7563
2014,5037,5036,5031,3437,3391,3361,517,514,518,103,95,91,255,243,257,1939,1950,1931,8389,7984,7690
2045,5151,5039,5072,3421,3372,3309,501,498,530,98,103,88,255,249,251,1985,1966,1937,8462,8137,7736
2076,5217,5152,5243,3547,3424,3490,511,506,515,103,89,96,260,270,253,1911,1985,1950,8467,8246,7872
2107,5418,5240,5319,3615,3485,3530,551,495,522,105,105,102,277,284,282,1944,2032,1998,8478,8291,7867
2138,5389,5271,5319,3560,3525,3556,504,563,531,109,106,89,313,271,267,2002,2062,2010,8783,8490,8066
2169,5359,5415,5468,3645,3494,3524,552,563,544,95,104,96,283,251,273,2005,2043,2057,8808,8546,8116
2200,5508,5474,5484,3675,3622,3682,566,511,549,106,109,97,263,232,251,2000,2124,2053,8830,8744,8207
2231,5572,5531,5492,3763,3574,3567,520,543,577,111,114,101,282,273,289,2078,2121,2093,8940,8661,8359
2262,5558,5578,5500,3767,3602,3714,545,518,530,115,111,102,282,269,268,2060,2153,2061,9020,8768,8279
2293,5634,5524,5690,3731,3682,3766,559,564,572,121,103,117,268,260,267,2049,2115,2180,9194,8826,8416
2324,5668,5596,5679,3893,3753,3736,557,536,581,112,90,106,297,291,278,2127,2219,2132,9169,8965,8550
2355,5728,5660,5710,3917,3795,3783,590,596,608,109,133,103,276,285,272,2063,2153,2251,9230,9057,8642
2386,5770,5728,5805,3876,3826,3871,553,576,584,119,109,108,285,276,289,2151,2209,2225,9427,9233,8576
2417,5881,5785,5835,3951,3879,3944,594,555,583,116,120,111,299,280,281,2239,2262,2205,9486,9148,8734
2448,5833,5841,5791,3962,3905,3857,553,560,604,115,104,110,314,318,293,2157,2257,2187,9604,9283,8917
2479,5968,6002,5994,4003,3974,3906,610,590,573,111,117,112,302,275,270,2263,2309,2226,9812,9283,9054
2510,6061,6015,6103,4064,4045,4052,616,618,609,103,112,96,290,303,301,2233,2350,2280,9826,9558,9037
2541,6041,5901,6158,4261,3962,4003,624,591,612,115,105,120,291,304,322,2327,2385,2306,9915,9552,9122
2572,6085,5878,6217,4101,4079,4059,585,566,625,102,132,117,320,297,326,2339,2398,2341,9911,9711,9205
2603,6228,6072,6165,4186,4017,4123,591,576,631,118,117,95,323,293,287,2282,2362,2319,10116,9673,9218
2634,6279,6139,6198,4212,4001,4106,619,594,617,110,116,120,313,294,325,2328,2394,2366,10026,9812,9402
