,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
0,199,183,201,153,165,172,10,10,9,22,26,23,68,58,67,393,379,399,47,60,47
29,183,192,165,162,177,172,10,12,10,24,24,24,59,63,66,698,649,707,69,64,50
61,176,196,178,149,162,194,12,12,10,31,18,21,58,61,61,1169,1148,1127,83,61,68
92,181,183,216,188,178,222,9,10,11,18,24,29,67,82,71,1575,1554,1671,74,71,62
123,201,198,215,188,208,204,16,14,7,33,20,25,75,77,75,2127,2003,2075,79,79,90
154,211,208,204,187,173,250,8,16,14,23,29,16,84,88,84,2610,2548,2608,75,98,81
185,207,200,197,225,196,256,11,14,10,24,24,18,74,91,86,3160,2965,3189,95,81,88
216,187,236,206,213,219,272,15,19,12,32,26,27,88,89,90,3671,3562,3704,88,94,98
247,213,228,215,232,242,285,18,13,14,26,27,25,88,88,92,4310,4072,4284,115,120,123
278,220,213,205,272,243,265,17,18,14,22,29,23,94,112,97,4845,4636,4775,121,108,109
309,198,227,224,271,244,340,20,14,19,22,21,29,79,105,92,5378,5072,5351,128,117,121
340,199,205,215,275,268,333,27,21,10,22,26,23,81,110,105,5980,5699,5877,172,134,134
371,206,221,227,289,272,331,20,20,21,34,22,25,88,113,118,6442,6250,6411,165,132,133
402,234,242,224,313,308,337,21,19,19,29,26,40,83,99,106,7177,6795,7115,175,118,143
433,222,233,236,306,297,349,31,15,18,22,29,32,97,115,118,7734,7253,7554,185,132,148
464,217,238,239,331,314,382,33,20,22,22,27,26,100,126,120,8289,7860,8264,183,147,155
495,236,234,241,366,312,390,28,26,27,26,25,26,103,141,117,8855,8467,8868,182,141,169
526,226,230,240,328,329,405,28,29,26,31,33,35,103,132,139,9457,9080,9418,206,157,150
557,259,239,258,386,343,410,27,24,24,26,31,26,109,161,134,9981,9620,10033,253,151,177
588,252,238,263,378,373,421,29,23,25,24,31,27,99,142,153,10647,9933,10431,221,170,188
619,254,215,269,388,373,445,27,24,22,37,28,26,115,139,149,11076,10819,10996,228,221,209
650,242,259,239,387,389,419,28,23,30,27,22,29,111,157,148,11695,11150,11502,255,175,209
681,246,244,264,382,371,456,33,43,24,27,32,29,134,162,159,12147,11586,12382,236,194,219
712,263,222,246,438,390,498,31,29,26,22,33,23,132,176,155,12813,12136,12787,257,215,225
743,243,236,257,421,411,465,31,29,29,37,33,26,126,163,166,13468,12637,13477,267,213,202
774,249,241,264,458,429,469,29,39,20,31,33,24,134,211,165,13783,13323,14075,285,217,233
805,247,261,306,406,410,515,31,35,22,26,25,26,139,175,181,14385,13807,14368,291,230,245
836,261,262,297,462,457,580,39,31,31,19,34,27,145,170,164,15112,14338,14916,290,220,234
867,263,277,265,483,473,529,41,37,33,29,37,24,131,186,181,15322,14640,15538,308,218,254
898,257,250,297,480,463,568,36,41,31,40,36,33,141,204,172,15864,15142,16029,322,226,244
929,253,250,257,511,454,562,33,43,27,39,30,32,149,202,194,16781,15919,16559,323,244,238
