,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
0,1526,1489,1476,10921,10917,9873,1126,1104,1220,256,244,207,4837,4785,4392,12773,12532,11886,4928,4564,5182
29,3106,3236,3097,24373,23345,21021,2280,2295,2375,448,405,414,9383,9263,8713,25582,25482,24325,12794,11768,12706
61,5664,5673,5231,43131,39828,36599,3930,4003,4128,731,680,637,14881,14832,13890,41518,42615,40278,25422,23760,24452
92,8463,8365,7784,64473,58690,53964,5641,5762,5845,974,938,905,21004,20919,19594,59182,61347,57851,41114,38696,39132
123,11569,11282,10532,86784,78970,72573,7527,7658,7711,1339,1249,1209,27090,27354,25484,77326,80836,75946,59095,55809,56068
154,14484,14413,13566,111698,100448,92256,9482,9609,9761,1662,1493,1417,33834,33991,31880,96447,101500,96243,79750,75576,74392
185,17767,17945,16814,136558,122997,112103,11759,11759,11831,1983,1847,1785,40230,40628,38001,116661,122363,116084,101211,95675,93034
216,21184,21154,19902,161896,144827,132966,13634,13800,14149,2375,2204,2098,46486,47114,44144,137119,143548,135914,123344,116127,112864
247,24489,24465,23171,188807,168093,153729,15721,15945,16235,2729,2593,2346,53086,53929,50795,156946,164586,155762,145744,138155,132915
278,27955,28340,26617,215519,191280,175083,18164,18107,18396,3064,2878,2769,59614,59783,56609,176913,185915,176931,168202,159716,153490
309,31400,31759,29728,241717,214978,196840,20243,20298,20664,3482,3143,2944,65945,66819,62399,197339,207486,197188,191252,182482,174638
340,34897,35534,33000,268298,238471,218380,22266,22333,22671,3897,3626,3313,71824,73420,68597,217241,229073,217294,214175,205263,195334
371,39014,38993,36940,294978,261664,239703,24325,24324,24732,4182,3973,3625,78301,79718,75060,237415,250716,237912,237492,227641,215190
402,42440,42629,39990,321623,284989,260952,26676,26572,26901,4590,4267,4115,84238,85388,80190,256666,271333,258366,260444,248265,235915
433,46197,46535,43752,347622,308126,281915,28590,28433,28848,4961,4520,4222,89938,92194,86183,276576,293347,278772,282958,270839,256040
464,50412,50278,47309,375001,331413,303658,30595,30770,31271,5298,4957,4584,95323,98050,91471,295581,314598,298554,305691,292902,275955
495,53610,54284,50451,400526,355173,324969,32560,32568,33233,5849,5340,4953,101347,103504,97399,314553,335192,318080,328348,314393,296675
526,57056,57526,54001,426976,376920,346539,34563,34754,35084,6163,5703,5255,106763,109433,102588,333486,354798,338410,350285,335772,315724
557,60979,61318,57798,451206,400264,365840,36812,36502,36784,6538,6097,5588,111591,114836,108049,353739,374403,357069,371495,356494,335844
588,63891,65353,60965,478784,422765,386770,38522,38489,38831,6866,6392,5955,116970,120482,112813,371729,394475,377222,392571,377925,354623
619,68175,68677,64363,502504,445521,408184,40426,40855,41251,7186,6720,6205,121444,124902,118052,389761,413358,394677,412948,397691,374503
650,71818,72420,67911,528165,467133,426344,42631,42153,42597,7618,7173,6512,127074,130482,122347,406769,432892,412784,432963,417820,392508
681,75667,76403,71575,553582,488794,446043,44444,43960,44836,7943,7368,6826,131723,135367,127626,424852,452081,430574,454309,436862,410266
712,79598,79621,74549,575807,510219,466231,46256,46398,46479,8228,7833,7183,136360,140118,132092,442112,470057,448067,472271,456838,427502
743,82229,83409,78200,600889,530396,485720,47511,47804,47710,8520,8149,7399,140888,144434,136530,459149,488352,465765,491698,474660,447051
774,85905,86755,81363,623588,551355,503166,49863,49681,49647,9052,8404,7602,145642,149377,140322,474752,505653,483425,511492,495194,464043
805,89649,90694,85004,645396,571332,522993,51150,50874,51307,9359,8564,8165,149278,153560,143926,491224,523719,499263,528866,512367,481903
836,93225,94103,88311,667223,590360,541140,53143,52882,53186,9533,8948,8186,153242,157462,148840,506881,539712,516402,546753,529226,498827
867,96502,97310,90971,689458,609427,557214,54534,54365,54575,9911,9140,8634,156258,161549,152239,521263,557170,531376,565119,547795,513995
898,100087,100833,94437,713825,630104,576443,56427,55927,56050,10323,9755,8969,160208,165006,155663,537498,573606,547397,582393,564259,530554
929,103126,104478,97943,734516,648855,592864,57810,57345,57172,10643,9987,9267,163953,169287,159172,551195,587770,563211,598244,581715,545322
960,106741,108222,100769,753992,666304,609291,59439,58714,59310,10998,10319,9659,167686,172947,162734,565708,604061,578288,616072,597553,560601
991,109994,111539,103723,776047,685170,626782,60642,60541,60196,11156,10631,9879,170074,175668,166062,580076,619625,592189,630349,611923,575826
1022,113538,114785,106551,794132,702296,642437,62072,61797,61974,11472,10749,10069,173769,178938,168930,593345,633819,607060,646629,629704,591017
1053,116736,118273,109984,815410,719357,658475,62850,62934,63028,11890,11372,10319,176547,182858,171831,606778,649165,622504,660420,643797,604229
1084,119910,121612,113268,834247,736747,674271,65338,64168,64150,12274,11549,10590,179896,184546,175327,620305,662498,634870,676975,657861,619246
1115,122705,123933,116265,853115,753672,688061,66527,65580,65910,12505,11792,10735,181815,188433,177742,632126,675796,648636,689298,671891,631803
1146,125777,127825,118609,871635,770016,703549,67136,66726,67188,12777,12179,11166,184392,191295,180695,645712,690645,661538,702922,686315,646112
1177,129271,130550,122173,888152,786718,719248,68762,68065,67979,12937,12310,11477,187514,193430,183029,657697,702112,675796,717329,702022,658344
1208,132194,133595,124681,905225,799801,732022,69921,69614,69302,13417,12591,11708,189807,196060,185763,668573,715001,687326,729432,714255,670788
1239,135553,137176,127953,922532,816902,746774,71011,70259,70150,13716,12738,11694,191958,198718,188176,679943,727507,697350,742826,725186,684801
1270,139034,140295,130307,939923,829377,761155,71881,71337,71140,14081,13145,12231,194594,200820,189853,690610,739022,709838,755796,737622,694562
1301,141447,143692,133246,956575,845466,772909,73123,72659,72459,13992,13381,12481,196370,203540,192411,701996,749868,719714,769708,751349,707184
1332,144543,146313,136110,973386,859796,786722,74537,73495,73284,14578,13683,12687,198270,204663,194557,712699,763083,732663,779739,763300,718564
1363,147136,149434,139284,987831,873795,798721,75374,74382,74100,14620,14046,12802,200840,207527,196207,722863,773569,742006,791583,774888,728502
1394,150003,151902,142274,1005378,888152,811526,76367,75891,74820,15077,14121,13021,202310,208629,198362,733665,783400,753584,802554,787151,739818
1425,153095,154753,145106,1019626,901896,822935,77054,76222,76196,15286,14448,13333,203541,210728,200385,743756,795395,764883,814560,796765,750596
1456,155519,158267,146700,1034242,913544,835260,78379,76978,76745,15594,14756,13508,206063,212376,202110,752008,805263,772562,823276,807456,761312
1487,158228,160767,150097,1047984,926870,847997,78910,78087,77854,15834,14902,13831,206772,214349,202958,762780,815107,782131,834110,817639,770885
1518,161253,163642,152693,1061987,940653,857992,79979,79456,78551,16169,15195,14035,208761,215766,204638,769352,824117,792665,842462,828583,780039
1549,164481,166255,154860,1076268,954361,870720,81091,79763,79715,16302,15176,14166,210304,216894,205875,778211,833797,802608,855713,839402,787215
1580,166769,168558,157699,1088500,964609,880384,82115,80612,79947,16627,15696,14349,211776,219055,207424,787866,843363,811090,864621,848651,798947
1611,169086,171797,160056,1101205,975493,891035,82460,81266,80634,16768,15998,14416,212355,220013,209332,794850,852867,820658,871295,856988,807740
1642,172072,174255,162601,1112144,987087,901250,83670,81825,81842,17010,16296,14704,213681,221156,209955,803482,860550,829477,880291,863693,814930
1673,175213,176451,165342,1124659,996456,910433,84183,82348,82736,17343,16254,15053,214390,223137,211457,812199,870133,837258,889026,872359,824606
1704,177545,179961,167836,1136124,1008114,921759,84451,82903,82941,17564,16753,15196,215617,223430,212443,819233,877316,843762,897710,881123,831348
1735,180834,182500,171048,1147806,1018339,930962,85393,83860,83518,17714,16863,15600,215915,224207,213038,825728,884508,852434,906849,889375,839757
1766,182635,184874,172448,1162121,1027545,938644,86127,84721,84483,18118,16893,15619,217971,224941,213922,833686,893083,860235,912461,899639,847568
1797,184891,186897,174767,1169658,1039632,947574,86671,85284,84725,18299,17344,15819,218219,225645,215151,839553,900641,866401,922568,908202,855590
1828,187583,190411,177418,1183182,1048534,956354,86763,85861,85338,18501,17368,16050,218776,226479,216132,846102,906477,874221,929843,913459,862799
1859,189348,192546,178872,1192362,1057539,966436,87563,86124,85429,18637,17515,16409,219912,227911,215857,851845,915830,882294,935865,919548,869172
1890,192072,194223,180847,1203716,1066765,974018,88613,86878,86096,18844,18084,16456,220495,228014,217774,858580,919382,888342,944304,926525,875279
1921,195170,197389,183813,1215637,1077061,983654,89141,87597,87163,19151,17961,16591,221216,229354,218363,865464,927752,894232,947471,933331,881697
1952,196870,200215,186219,1224011,1085609,991660,89735,88032,87417,19128,18164,17006,221237,229824,218812,871916,933882,902045,953341,939238,888355
1983,199583,201274,188213,1231801,1094445,999113,89517,87935,87621,19556,18500,16942,222138,230693,218916,877460,940986,906640,961926,946415,894951
2014,201221,204573,189951,1241454,1102437,1006286,89968,88593,88166,19649,18587,17252,222686,230873,219528,881696,946624,913617,967878,952375,899181
2045,203886,206725,193691,1249372,1109350,1014547,90341,89193,88541,19863,18966,17324,222593,231540,220657,887109,951760,918311,972194,959667,905912
2076,206167,208830,194408,1258377,1116447,1021794,90622,89619,89119,20253,19413,17462,222925,231161,220456,891187,957997,923593,977671,963896,909848
2107,208120,211260,197094,1267549,1125230,1025402,91893,89671,89061,20464,19304,17810,222981,231383,220882,897596,963156,928535,984708,967834,916313
2138,210725,212854,198980,1276773,1130974,1034916,92060,90246,89668,20787,19512,17893,222655,231829,221296,902198,968880,933427,989423,975112,920627
2169,213339,215820,200249,1285494,1138949,1039782,92553,90636,89811,21004,19748,17999,223372,232836,221422,907212,973597,939796,993639,979718,925265
2200,214404,217958,203133,1292362,1145739,1047521,92851,91105,90252,20880,19912,18440,223791,233261,222081,913111,977434,944451,998149,983092,930558
2231,217171,220261,205368,1298182,1153862,1053660,93038,90587,90388,21227,20172,18438,223539,233030,221354,915087,982816,948212,1002716,987939,935422
2262,219385,222405,207263,1306661,1159289,1060042,93605,91097,90419,21255,20304,18429,224303,233440,221875,920030,988527,953995,1007824,992207,940040
2293,221158,224244,208215,1314278,1167442,1064599,93749,91228,91427,21827,20511,18894,223658,232938,222204,923061,991434,958801,1011906,996270,944042
2324,223689,226803,210374,1321057,1173100,1069581,93792,91325,91850,21806,20598,18895,224305,233154,222077,927883,995746,962559,1016418,999809,948484
2355,225830,228575,212167,1327956,1178984,1074937,94405,91407,91441,21992,20787,19048,223681,232771,222487,932329,999547,965291,1019610,1003462,953369
2386,226945,230968,214797,1330198,1185573,1080938,94240,91684,91953,22342,21239,19254,223506,232742,222713,933570,1004072,969494,1021366,1009157,956502
2417,229432,231981,216198,1340421,1190159,1087862,94909,92614,92198,22559,21232,19296,224017,232644,221650,938935,1008588,973315,1026075,1011719,960164
2448,231053,235356,218217,1346584,1197270,1092626,95118,92106,91724,22550,21287,19502,224387,232648,222916,941017,1011302,976477,1029082,1014171,961811
2479,233206,236480,220607,1351772,1201056,1098706,95473,92666,92244,22877,21652,19639,223378,233167,222167,944678,1013222,981070,1033018,1016957,965104
2510,235072,239005,222752,1357611,1205767,1101552,95809,92901,92179,22943,21504,19877,223541,232502,222722,949018,1017145,983612,1035079,1020056,967758
2541,236438,241676,224216,1362653,1211809,1103738,95650,93306,92666,22889,21901,19897,223988,232856,221858,952100,1020482,987492,1039608,1022058,970835
2572,238558,242544,225510,1367930,1217323,1109313,95701,92982,92964,23320,21941,20135,222801,232472,222157,953708,1023762,989463,1040324,1024220,972788
2603,240746,244274,227880,1371569,1221531,1115062,95653,93633,92595,23363,22232,20137,222627,231717,222240,956094,1027891,992977,1044771,1028256,975818
2634,242201,245755,229727,1377655,1227238,1117175,96393,93241,92994,23367,22487,20315,222677,231543,221546,958461,1029424,996481,1047672,1030703,978993
2665,244474,248247,231968,1384280,1231180,1123930,96167,93314,92825,23681,22495,20589,222332,230678,221474,962124,1032189,997861,1047932,1033019,981100
2696,246190,249991,232785,1386204,1233605,1126050,96155,93237,93011,24051,22718,20917,221834,231428,221345,962722,1034227,1000872,1052269,1034654,982880
2727,248267,251811,234624,1392730,1239235,1129165,96115,93782,93073,24029,22629,20568,221351,230441,219978,965298,1036282,1003580,1051238,1037187,985056
2758,249638,254483,236263,1395694,1242064,1133128,96737,94050,93145,24234,22637,20614,221640,230727,220567,965587,1038732,1007486,1052138,1037417,987450
2789,251188,256361,237890,1398769,1245716,1135897,96789,93458,93135,24498,22797,21035,219981,229948,219725,968023,1040285,1007064,1054255,1038581,989276
2820,253218,257065,239188,1404092,1248253,1138344,96646,93432,93071,24616,23147,21411,220199,229013,218988,971297,1042792,1009568,1056292,1041731,992065
2851,253707,259512,241028,1407621,1252260,1142126,96694,93386,93060,24709,23305,21188,219281,228526,218969,971949,1045880,1010176,1058361,1042985,992254
