,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
0,160,160,178,466,560,562,7,10,5,29,20,15,49,43,45,88,86,71,44,71,340
29,160,160,164,1182,1522,1437,12,14,10,21,14,28,60,47,54,87,86,94,76,110,382
61,152,153,170,2584,2857,2875,18,7,11,20,17,28,48,56,58,90,103,77,111,155,462
92,165,173,185,3979,4682,4421,22,10,9,18,22,20,56,61,45,90,102,101,152,204,528
123,185,165,176,5735,6595,6353,19,20,10,17,15,21,58,48,52,108,104,101,175,247,550
154,167,152,197,7745,8593,8196,31,20,14,21,16,26,56,65,65,114,103,118,241,318,665
185,161,190,193,10016,10652,10385,37,16,14,26,31,21,58,67,74,140,133,126,274,367,764
216,178,174,189,12399,12790,12383,36,20,15,26,17,23,59,68,60,153,166,149,347,418,830
247,169,181,223,14467,15312,14985,48,16,17,21,23,20,65,76,50,147,150,151,409,490,881
278,165,177,202,16662,17500,17019,51,23,22,22,25,22,71,63,64,151,169,170,443,555,955
309,175,169,223,19210,19982,19472,50,22,18,26,25,19,62,73,73,153,183,164,521,655,1010
340,178,187,261,21535,22541,21793,60,28,25,26,29,19,72,70,71,172,200,178,563,676,1110
371,168,186,240,24044,24552,24130,69,23,22,20,17,25,66,60,96,185,201,205,608,786,1145
402,184,192,254,26306,26914,26359,81,26,26,23,33,29,73,63,81,198,202,187,658,822,1262
433,199,186,263,29049,29467,28674,88,25,28,26,21,26,68,52,82,206,209,221,722,862,1319
464,172,191,268,31449,32039,31181,104,34,32,36,18,32,77,75,88,218,251,224,772,957,1374
495,177,166,281,34040,34281,33447,94,30,38,28,31,33,75,66,84,228,223,237,851,1003,1426
526,192,177,276,36205,36767,36190,88,31,39,23,22,29,69,79,88,223,251,224,839,1082,1594
557,194,194,296,38803,39141,38153,107,47,44,21,17,24,72,81,75,276,278,276,885,1143,1650
588,179,198,313,41019,41255,40694,109,47,35,27,26,22,82,78,101,267,279,244,984,1213,1685
619,196,206,315,43677,43834,42721,121,46,57,33,24,22,88,88,87,270,282,259,1030,1239,1832
650,204,186,313,46108,46544,44930,115,52,47,26,21,23,92,96,117,285,318,268,1080,1337,1870
681,215,193,334,48538,48844,47351,135,45,34,24,23,33,84,81,113,296,309,273,1194,1393,1910
712,199,213,338,50789,51271,49752,149,62,35,32,24,22,91,98,94,291,333,306,1141,1508,1973
743,187,189,361,53018,53203,51881,156,59,48,29,30,24,95,85,100,312,338,314,1251,1499,2113
774,173,207,343,55503,55768,54583,141,45,52,31,23,21,82,83,117,308,333,309,1263,1523,2155
805,194,204,351,57982,58165,56777,159,58,49,24,29,27,90,85,109,340,351,323,1368,1641,2257
836,191,183,375,60363,60211,58612,163,46,47,33,23,35,79,100,125,354,341,336,1375,1730,2424
867,176,198,351,62672,62197,61017,163,59,52,37,22,29,77,107,113,380,382,366,1448,1815,2413
898,198,214,339,64920,64858,63009,169,64,54,31,25,32,103,110,112,370,373,345,1488,1875,2363
929,210,195,359,66907,66727,65246,177,59,50,23,29,32,105,115,137,384,401,358,1502,1889,2515
960,202,219,368,69325,68987,67482,175,62,67,41,31,38,105,99,109,401,408,383,1581,1970,2602
991,205,221,406,71251,71411,69722,183,71,62,27,35,22,104,94,136,395,409,396,1586,2072,2659
1022,180,185,412,73537,73198,72110,179,58,55,30,22,39,96,106,122,411,416,409,1676,2022,2654
1053,200,207,393,75670,76063,73548,213,63,69,34,21,30,117,80,125,429,390,403,1759,2166,2792
1084,208,223,408,78495,77606,75786,204,69,64,30,26,26,103,100,137,405,458,399,1791,2139,2780
1115,232,212,383,79831,80202,77835,192,77,67,29,35,26,116,103,138,408,420,413,1798,2225,2900
1146,206,208,450,82126,82130,79520,234,65,67,26,38,33,118,100,135,421,437,432,1849,2335,2974
1177,207,210,435,84177,83804,82025,233,81,86,30,31,28,101,95,140,452,428,454,1919,2376,3010
1208,246,198,430,86039,85960,83922,221,73,70,27,24,33,118,103,145,463,460,433,2014,2334,3111
1239,191,217,439,88671,87806,85719,216,88,70,29,37,33,106,115,145,453,496,452,2000,2434,3104
1270,229,206,441,90781,89516,88019,252,105,76,31,27,35,120,103,147,470,523,457,2060,2492,3244
1301,201,213,447,92823,91128,89950,268,79,70,37,25,33,105,104,159,496,500,466,2026,2619,3266
1332,226,206,460,94534,93556,91718,263,82,82,33,33,35,117,109,149,469,534,471,2080,2607,3327
1363,219,214,481,96254,95765,93435,234,78,89,32,31,28,117,124,145,503,547,507,2173,2626,3468
1394,184,220,458,98441,97451,95395,242,100,77,34,35,36,129,126,158,507,558,519,2225,2736,3458
1425,232,204,455,100012,99039,97375,276,84,68,35,20,37,96,100,147,509,551,493,2252,2762,3607
1456,209,210,473,102584,101212,98993,265,91,91,28,33,30,115,115,162,552,556,520,2210,2822,3539
1487,229,204,483,104458,102562,100574,289,98,81,31,29,41,117,113,164,494,540,522,2313,2834,3717
1518,212,215,473,105720,105092,102495,276,92,88,28,31,35,123,124,152,504,564,525,2362,2974,3848
1549,238,214,494,107617,106803,104632,291,88,77,32,31,34,122,120,172,526,539,536,2345,3020,3698
1580,201,226,491,110141,108471,106160,306,103,89,29,39,33,122,141,182,547,600,539,2451,3063,3874
1611,219,219,505,111690,110226,107599,304,94,96,26,31,32,136,126,181,570,587,585,2540,3099,4013
1642,198,198,499,113250,112010,109998,304,103,92,34,27,36,125,122,151,562,618,557,2443,2994,3904
1673,232,216,505,115105,113367,110898,287,108,86,24,33,26,133,129,189,587,608,522,2613,3226,3935
1704,221,230,552,116602,115986,112916,311,113,102,37,29,33,120,111,182,595,560,589,2641,3181,4005
1735,200,208,566,118309,117428,114713,310,93,88,38,29,31,120,134,167,556,585,593,2620,3250,4142
1766,224,225,531,120491,118824,116032,301,108,84,31,33,33,134,142,173,573,658,587,2707,3287,4265
1797,235,211,521,121868,120411,117286,299,109,98,39,38,37,136,123,170,601,636,609,2727,3321,4177
1828,198,228,525,123723,122618,119572,311,108,103,33,28,32,143,134,160,643,638,586,2688,3497,4360
1859,206,208,515,125402,123828,121200,310,106,98,29,32,42,139,132,178,595,636,603,2773,3429,4327
1890,194,204,546,126890,124974,122700,316,98,90,34,28,34,147,124,186,618,626,579,2798,3501,4424
1921,213,198,534,128061,126920,124498,329,103,107,30,41,20,134,147,166,603,650,619,2850,3507,4345
